#                                      ID                                       # sources in
# Name              RA       Dec      Number   Rate/s   err/s     sigma  t(sec)  src  bkgd
PSZ1_G001.00+25.71  244.5841 -13.0701    1.00 -0.00260  0.00341  -0.76  1147.58    0    0
PSZ1_G003.09-22.51  292.1644 -35.7111    2.00 -0.00568  0.00585  -0.97   299.20    0    0
PSZ1_G003.60-24.45  294.6129 -35.8392    3.00  0.00352  0.00766   0.46   293.71    0    0
PSZ1_G011.35-72.94  354.0719 -32.1349    4.00  0.00586  0.01117   0.52   127.19    0    0
PSZ1_G011.50-40.11  314.9335 -32.8485    5.00 -0.00415  0.00316  -1.31   453.99    0    0
PSZ1_G012.48+27.36  249.3729  -3.8186    6.00 -0.00508  0.00291  -1.75   604.54    0    0
PSZ1_G012.66+25.79  250.7751  -4.5418    7.00  0.00038  0.00518   0.07   476.51    0    0
PSZ1_G015.42+58.42  223.8901  14.3771    8.00 -0.00018  0.00689  -0.03   358.09    0    1
PSZ1_G017.05-22.67  297.2689 -23.6063    9.00 -0.00033  0.00648  -0.05   269.46    0    0
PSZ1_G017.35-23.56  298.2799 -23.6660   10.00  0.00092  0.00802   0.12   280.80    0    2
PSZ1_G023.38-33.46  310.3287 -21.9966   11.00  0.00435  0.00943   0.46   184.69    0    1
PSZ1_G027.75+15.41  266.8087   2.5088   12.00  0.00046  0.00793   0.06   401.80    0    1
PSZ1_G030.98+22.43  261.8935   8.3955   13.00  0.00594  0.00816   0.73   523.40    0    0
PSZ1_G031.41+28.75  256.2632  11.4604   14.00  0.00126  0.00665   0.19   546.41    0    0
PSZ1_G032.76+42.33  243.7742  17.7735   15.00  0.00326  0.00519   0.63   547.55    0    0
PSZ1_G036.02+12.21  273.3037   8.2464   16.00  0.00134  0.00651   0.21   378.94    0    0
PSZ1_G038.25-58.36  339.0529 -20.1780   17.00 -0.00717  0.00416  -1.72   245.18    0    0
PSZ1_G040.33-16.55  300.9136  -1.1441   18.00  0.00292  0.00860   0.34   233.92    0    0
PSZ1_G042.96+19.11  269.7692  17.2110   19.00  0.00474  0.00713   0.66   345.51    0    1
PSZ1_G046.02-09.13  297.0567   7.2819   20.00 -0.00503  0.00415  -1.21   244.67    0    0
PSZ1_G050.01-16.88  305.7798   6.7590   21.00 -0.00775  0.00243  -3.19   425.26    0    1
PSZ1_G051.42-26.16  314.3881   2.9996   22.00  0.00690  0.00542   1.27   453.72    0    0
PSZ1_G052.93+10.44  282.3713  22.4613   23.00 -0.00218  0.00297  -0.73   589.54    0    0
PSZ1_G053.50+09.56  283.4861  22.5893   24.00  0.00383  0.00413   0.93   596.45    0    0
PSZ1_G054.59-18.18  309.2329   9.7781   25.00  0.00567  0.00576   0.98   493.22    0    1
PSZ1_G055.83-41.64  329.3084  -2.5308   26.00 -0.00052  0.00506  -0.10   344.88    0    1
PSZ1_G057.42-10.77  304.3561  16.0925   27.00  0.07551  0.01275   5.92   520.78    1    0
PSZ1_G058.77-26.14  318.0891   8.4707   28.00 -0.00790  0.00304  -2.60   475.45    0    1
PSZ1_G059.99+11.06  285.0123  29.0061   29.00  0.00057  0.00452   0.13   668.01    0    1
PSZ1_G060.51-19.54  313.5970  13.6351   30.00 -0.00641  0.00292  -2.20   494.31    0    0
PSZ1_G064.30+30.58  264.1826  39.1151   31.00  0.00155  0.00348   0.45   960.10    0    0
PSZ1_G075.29+26.66  272.1519  47.7808   32.00 -0.00334  0.00280  -1.19  1348.07    0    0
PSZ1_G081.56+31.03  266.5520  53.8466   33.00 -0.00033  0.00242  -0.14  1812.87    0    0
PSZ1_G083.35+76.41  203.6810  37.1797   34.00  0.98436  0.04142  23.76   578.94    1    1
PSZ1_G090.48+46.89  236.3188  57.7906   35.00  0.00422  0.00331   1.27  1174.73    0    0
PSZ1_G091.73-30.23  343.1745  25.3469   36.00  0.00543  0.00500   1.09   492.11    0    0
PSZ1_G094.95-36.72  349.1197  20.9304   37.00 -0.00602  0.00219  -2.75   469.96    0    0
PSZ1_G096.44-10.40  334.8965  44.5181   38.00 -0.00197  0.00227  -0.87   631.45    0    0
PSZ1_G098.67-07.03  334.8387  48.5422   39.00  0.00690  0.00527   1.31   571.37    0    0
PSZ1_G098.85-07.27  335.2718  48.4426   40.00 -0.00057  0.00392  -0.14   574.32    0    0
PSZ1_G100.46-61.45    2.3364  -0.4324   41.00  0.00037  0.00470   0.08   370.86    0    0
PSZ1_G102.97-04.77  338.6974  52.7205   42.00  0.00976  0.00595   1.64   533.61    0    0
PSZ1_G103.16-14.95  345.9663  43.7511   43.00 -0.00108  0.00368  -0.29   475.02    0    0
PSZ1_G103.24+16.92  308.0569  69.1322   44.00 -0.00196  0.00183  -1.07  1108.01    0    0
PSZ1_G103.50+31.36  264.1904  72.5537   45.00  0.01334  0.00268   4.98  2850.77    0    0
PSZ1_G103.56-39.35  356.9042  21.1032   46.00 -0.00384  0.00227  -1.69   449.65    0    0
PSZ1_G105.91-38.39  358.4756  22.5725   47.00  0.00269  0.00392   0.69   573.33    0    0
PSZ1_G106.07-17.42  350.7993  42.5372   48.00 -0.00327  0.00427  -0.76   528.79    0    1
PSZ1_G106.81-36.44  358.6377  24.6412   49.00 -0.00365  0.00367  -0.99   276.33    0    0
PSZ1_G108.13-09.21  349.2886  50.9235   50.00  0.00120  0.00515   0.23   276.00    0    0
PSZ1_G108.90-52.04    4.1567   9.8806   51.00 -0.00244  0.00225  -1.09   638.23    0    0
PSZ1_G109.09-52.45    4.3624   9.4993   52.00  0.00084  0.00319   0.26   631.28    0    0
PSZ1_G112.60-39.30    4.2007  22.8716   53.00 -0.00235  0.00357  -0.66   400.82    0    0
PSZ1_G117.29+13.44  350.6890  75.3353   54.00  0.01118  0.00470   2.38   738.60    0    0
PSZ1_G118.61+10.55  358.2684  72.9377   55.00  0.00228  0.00392   0.58   678.13    0    0
PSZ1_G118.87+42.71  203.7637  74.0655   56.00 -0.00008  0.00788  -0.01   127.77    0    0
PSZ1_G121.27+23.08  352.1641  85.6886   57.00  0.00416  0.00459   0.91   693.00    0    0
PSZ1_G121.69+24.47  349.7649  87.1175   58.00 -0.00159  0.00291  -0.55   693.80    0    0
PSZ1_G123.39+30.62  186.4330  86.4757   59.00  0.02334  0.00594   3.93   842.60    0    0
PSZ1_G124.64+29.38  159.4638  87.2799   60.00  0.00143  0.00284   0.50   867.83    0    0
PSZ1_G125.54-56.25   14.3226   6.5898   61.00 -0.00568  0.00242  -2.35   423.96    0    0
PSZ1_G127.55+20.84   47.7134  82.4289   62.00  0.00182  0.00447   0.41   595.47    0    0
PSZ1_G128.75-17.97   20.6437  44.5438   63.00 -0.00852  0.00296  -2.88   347.64    0    0
PSZ1_G133.50-46.77   20.3546  15.4805   64.00 -0.00713  0.00265  -2.69   388.96    0    1
PSZ1_G134.08-44.61   21.1612  17.5408   65.00 -0.00054  0.00408  -0.13   427.54    0    0
PSZ1_G134.75-56.53   19.3806   5.7320   66.00 -0.00490  0.00241  -2.04   425.46    0    0
PSZ1_G135.68+45.61  167.4548  68.9123   67.00  0.01069  0.00550   1.94   730.15    0    0
PSZ1_G135.92+76.21  188.8189  40.5064   68.00 -0.00278  0.00282  -0.98   507.87    0    0
PSZ1_G140.10+50.09  167.7009  63.5470   69.00 -0.00242  0.00262  -0.93   669.69    0    0
PSZ1_G142.38+22.82   93.4162  71.8725   70.00  0.00402  0.00488   0.82   411.72    0    0
PSZ1_G143.70-08.59   45.1628  48.9905   71.00 -0.00012  0.00333  -0.04   524.81    0    0
PSZ1_G144.99+54.39  168.2620  58.3108   72.00 -0.00051  0.00395  -0.13   571.19    0    1
PSZ1_G150.33-20.04   45.1057  35.8696   73.00 -0.00790  0.00216  -3.66   479.42    0    1
PSZ1_G151.44-64.86   24.5980  -4.6261   74.00  0.00301  0.00461   0.65   435.93    0    0
PSZ1_G153.87+41.05  139.6116  61.0585   75.00 -0.00353  0.00329  -1.07   309.00    0    0
PSZ1_G158.58-52.47   33.7233   4.5175   76.00 -0.00018  0.00692  -0.03   145.67    0    0
PSZ1_G159.29-24.66   50.2451  27.4476   77.00 -0.00351  0.00233  -1.51   437.69    0    0
PSZ1_G160.59+17.41   95.2294  53.9692   78.00 -0.00715  0.00321  -2.23   318.77    0    1
PSZ1_G162.30-26.92   51.1103  24.0124   79.00 -0.00647  0.00317  -2.04   454.44    0    2
PSZ1_G163.03-27.80   51.0750  22.9241   80.00 -0.00318  0.00226  -1.41   450.83    0    0
PSZ1_G169.80+26.10  112.5344  48.3339   81.00 -0.00399  0.00244  -1.64   418.30    0    1
PSZ1_G178.10+18.58  105.5701  38.8365   82.00 -0.00078  0.00381  -0.21   374.64    0    0
PSZ1_G181.12-29.42   61.7207  10.6387   83.00 -0.00146  0.00355  -0.41   284.26    0    1
PSZ1_G182.49-57.09   41.0829  -7.9269   84.00 -0.00549  0.00493  -1.11   206.28    0    0
